"47.656141, -122.319729"
"47.709978, -122.359650"
"47.668589, -122.387500"
"47.620120, -122.315351"
"47.612424, -122.326000"
"47.612424, -122.326000"
"47.612424, -122.326000"
"47.708628, -122.322921"
"47.613320, -122.332837"
"47.612846, -122.348449"
"47.613320, -122.332837"
"47.673400, -122.342600"
"47.560050, -122.385700"
"47.616824, -122.348878"
"47.617273, -122.352633"
"47.720041, -122.299290"
"47.541200, -122.275000"
"47.621120, -122.332937"
"47.634019, -122.325285"
"47.584600, -122.300500"
"47.603649, -122.336476"
"47.673400, -122.342600"
"47.731242, -122.347012"
"47.626717, -122.342737"
"47.539800, -122.387800"
"47.599079, -122.302046"
"47.575620, -122.386438"
"47.612528, -122.348424"
"47.739028, -122.342656"
"47.739121, -122.342720"
"47.739121, -122.342892"
"47.739107, -122.342806"
"47.739035, -122.342677"
"47.739092, -122.342784"
"47.739020, -122.342656"
"47.739092, -122.342892"
"47.739092, -122.342935"
"47.622913, -122.324245"
"47.622913, -122.324245"
"47.617747, -122.314139"
"47.581818, -122.315175"
"47.681281, -122.264786"
"47.775654, -122.346185"
"47.615100, -122.344700"
"47.626322, -122.355285"
"47.620097, -122.357829"
"47.647702, -122.378739"
"47.616420, -122.353338"
"47.612528, -122.348424"
"47.717000, -122.301500"
"47.562920, -122.385438"
"47.626080, -122.342682"
"47.722820, -122.293037"
"47.614163, -122.345483"
"47.623320, -122.314400"
"47.619356, -122.354372"
"47.615262, -122.291501"
"47.611600, -122.305600"
"47.614237, -122.344376"
"47.614239, -122.344272"
"47.615622, -122.326755"
"47.703047, -122.323773"
"47.663942, -122.316134"
"47.603600, -122.325600"
"47.562671, -122.380131"
"47.617504, -122.352161"
"47.605310, -122.319115"
"47.668599, -122.396185"
"47.617420, -122.347138"
"47.668971, -122.398510"
"47.668599, -122.396185"
"47.633709, -122.360933"
"47.633900, -122.347600"
"47.637713, -122.373839"
"47.630785, -122.356624"
"47.679220, -122.291691"
"47.737700, -122.343100"
"47.719220, -122.295037"
"47.624418, -122.365363"
"47.534400, -122.354700"
"47.627352, -122.342433"
"47.627397, -122.341840"
"47.617391, -122.348846"
"47.617391, -122.348846"
"47.618720, -122.324137"
"47.626720, -122.325337"
"47.619616, -122.353964"
"47.708622, -122.323084"
"47.605310, -122.319115"
"47.617391, -122.348846"
"47.623320, -122.314400"
"47.623320, -122.314400"
"47.605310, -122.319115"
"47.605310, -122.319115"
"47.612320, -122.322937"
"47.597520, -122.326749"
"47.613129, -122.332063"
"47.612528, -122.348424"
"47.657684, -122.314546"
"47.588597, -122.316220"
"47.663300, -122.302200"
"47.626720, -122.325337"
"47.626720, -122.325337"
"47.626720, -122.325337"
"47.620020, -122.324037"
"47.613411, -122.315683"
"47.615320, -122.315737"
"47.613120, -122.319787"
"47.614210, -122.344431"
"47.614266, -122.344323"
"47.614198, -122.344472"
"47.556376, -122.386932"
"47.717000, -122.301500"
"47.560036, -122.385635"
"47.623320, -122.314400"
"47.623320, -122.314400"
"47.623320, -122.314400"
"47.623320, -122.314400"
"47.678420, -122.326738"
"47.715720, -122.298037"
"47.686976, -122.376640"
"47.612818, -122.317572"
"47.613078, -122.314047"
"47.731862, -122.314289"
"47.626471, -122.361259"
"47.669289, -122.377481"
"47.564419, -122.373102"
"47.520331, -122.335703"
"47.617391, -122.348846"
"47.634120, -122.341888"
"47.737700, -122.343100"
"47.645620, -122.325637"
"47.617567, -122.346942"
"47.622031, -122.359436"
"47.676420, -122.319460"
"47.614620, -122.340437"
"47.626717, -122.342737"
"47.612721, -122.348678"
"47.620281, -122.319825"
"47.541200, -122.275000"
"47.619110, -122.316637"
"47.659144, -122.344093"
"47.636220, -122.356838"
"47.676420, -122.319460"
"47.613382, -122.315705"
"47.673750, -122.317075"
"47.609852, -122.316349"
"47.619498, -122.337363"
"47.679038, -122.324554"
"47.603600, -122.325600"
"47.633222, -122.341048"
"47.608948, -122.339061"
"47.618112, -122.356281"
"47.607692, -122.327833"
"47.544400, -122.373500"
"47.617360, -122.352719"
"47.626080, -122.342682"
"47.610100, -122.324039"
"47.627651, -122.342600"
"47.730077, -122.292537"
"47.666506, -122.300895"
"47.623320, -122.314400"
"47.674173, -122.316499"
"47.621220, -122.321988"
"47.613419, -122.323245"
"47.616159, -122.325468"
"47.625722, -122.360938"
"47.654847, -122.357442"
"47.658450, -122.345123"
"47.717000, -122.301500"
"47.732239, -122.339335"
